core,section,start,end,cycles,snitch_loads,snitch_stores,snitch_avg_load_latency,snitch_occupancy,total_ipc,snitch_issues,num_cores,num_data,num_local_data,max_val,seed
6,1,29110,31155,2046,198,65,2.9242424242424243,0.6412512218963832,0.6412512218963832,1312,8,2,-1,32,1671362532
6,2,31157,32016,860,29,4,2.333333333333333,0.13023255813953488,0.13023255813953488,112,8,2,-1,32,1671362532
3,0,19806,29107,9302,102,90,8.108910891089108,0.06568479896796388,0.06568479896796388,611,8,2,-1,32,1671362532
3,1,29109,30074,966,101,25,1.98019801980198,0.6211180124223602,0.6211180124223602,600,8,2,-1,32,1671362532
3,2,30076,32015,1940,6,1,1.6666666666666667,0.015463917525773196,0.015463917525773196,30,8,2,-1,32,1671362532
0,0,19767,29107,9341,91,2415,8.333333333333334,0.8259287014238305,0.8259287014238305,7715,8,2,-1,32,1671362532
0,1,29109,31757,2649,238,81,3.138655462184874,0.6191015477538694,0.6191015477538694,1640,8,2,-1,32,1671362532
0,2,31759,32022,264,44,8,2.463414634146341,0.5909090909090909,0.5909090909090909,156,8,2,-1,32,1671362532
7,0,19823,29108,9286,108,91,8.075471698113207,0.07064398018522508,0.07064398018522508,656,8,2,-1,32,1671362532
7,1,29110,30359,1250,126,25,2.5396825396825395,0.6416,0.6416,802,8,2,-1,32,1671362532
7,2,30361,32016,1656,6,1,1.6666666666666667,0.018115942028985508,0.018115942028985508,30,8,2,-1,32,1671362532
1,0,19821,28457,8637,65,58,7.640625,0.04758596734977423,0.04758596734977423,411,16,2,-1,32,1671362532
1,1,28459,30220,1762,157,39,3.5859872611464967,0.6322360953461975,0.6322360953461975,1114,16,2,-1,32,1671362532
1,2,30222,30919,698,6,1,1.6666666666666667,0.04297994269340974,0.04297994269340974,30,16,2,-1,32,1671362532
11,0,19861,28459,8599,69,58,7.955882352941178,0.051517618327712525,0.051517618327712525,443,16,2,-1,32,1671362532
11,1,28461,30191,1731,151,44,3.4569536423841063,0.6181398035817447,0.6181398035817447,1070,16,2,-1,32,1671362532
11,2,30193,30922,730,27,5,2.28,0.14794520547945206,0.14794520547945206,108,16,2,-1,32,1671362532
14,0,19859,28460,8602,75,58,7.635135135135134,0.05707974889560567,0.05707974889560567,491,16,2,-1,32,1671362532
14,1,28462,29192,731,68,17,2.617647058823529,0.6046511627906976,0.6046511627906976,442,16,2,-1,32,1671362532
